Designator,Mid X,Mid Y,Rotation,Layer
A1,154.24,-88.445,270.0,top
C1,100.21,-76.26,180.0,top
C2,123.63,-89.66,270.0,top
H5,162.31,-88.31,0.0,top
H6,162.31,-125.41,0.0,top
H7,106.11,-88.31,0.0,top
H8,106.11,-125.41,0.0,top
J1,134.215,-125.91,270.0,top
J2,86.7125,-99.065,0.0,top
R1,116.81,-72.78,180.0,top
R2,117.0,-78.43,180.0,top
SW1,115.5,-90.19,270.0,top
U1,100.32275,-95.285002,0.0,top
